week,client_id,industry,plan_type,mrr,payment_status,support_tickets,active_flag,new_client,churned
2026-W30,CLT-1054,Real Estate,Basic,341.65,Late,3,1,0,0
2026-W30,CLT-1055,eCommerce,Basic,309.83,Paid,4,1,0,0
2026-W30,CLT-1056,Real Estate,Pro,991.12,Paid,4,1,0,0
2026-W30,CLT-1057,eCommerce,Basic,308.47,Paid,2,1,0,0
2026-W30,CLT-1058,Real Estate,Enterprise,2962.33,Paid,1,1,0,0
2026-W30,CLT-1059,Healthcare,Pro,919.07,Paid,1,1,0,0
2026-W30,CLT-1060,Real Estate,Pro,953.98,Paid,6,1,0,0
2026-W30,CLT-1061,Education,Pro,1070.96,Paid,1,1,1,1
2026-W30,CLT-1062,Logistics,Pro,968.98,Overdue,2,1,0,0
2026-W30,CLT-1063,Healthcare,Basic,300.63,Paid,1,1,0,0
2026-W30,CLT-1064,Real Estate,Basic,366.62,Paid,1,1,1,0
2026-W30,CLT-1065,Healthcare,Basic,306.43,Paid,3,1,1,0
2026-W30,CLT-1066,Healthcare,Basic,369.04,Paid,1,1,0,0
2026-W30,CLT-1067,Logistics,Basic,361.01,Paid,3,1,0,0
2026-W30,CLT-1068,Education,Enterprise,2628.2,Paid,1,1,0,0
2026-W30,CLT-1069,eCommerce,Basic,351.24,Paid,1,1,0,0
2026-W30,CLT-1070,eCommerce,Pro,778.93,,2,1,0,0
2026-W30,CLT-1071,SaaS,Basic,307.62,Late,1,1,0,0
2026-W30,CLT-1072,Finance,Enterprise,3092.88,Paid,2,1,0,0
2026-W30,CLT-1073,Logistics,Pro,999.71,Paid,2,1,0,0
2026-W30,CLT-1074,eCommerce,Basic,330.31,Paid,5,1,0,0
2026-W30,CLT-1075,Education,Pro,1034.22,Late,1,1,0,0
2026-W30,CLT-1076,Healthcare,Enterprise,2887.38,Paid,2,1,1,0
2026-W30,CLT-1077,Healthcare,Enterprise,,Paid,0,1,0,0
2026-W30,CLT-1078,Real Estate,Pro,935.35,Paid,1,1,0,0
2026-W30,CLT-1079,Logistics,Basic,279.77,Overdue,3,1,0,0
2026-W30,CLT-1080,Logistics,Basic,294.51,Overdue,2,1,0,0
2026-W30,CLT-1081,SaaS,Enterprise,2454.54,Paid,1,1,0,0
2026-W30,CLT-1082,Education,Pro,939.45,Overdue,1,1,0,0
2026-W30,CLT-1083,Healthcare,Basic,389.87,Paid,2,1,0,0
2026-W30,CLT-1084,Finance,Enterprise,2521.62,Paid,2,1,0,0
2026-W30,CLT-1085,Logistics,Pro,946.19,Paid,3,0,1,0
2026-W30,CLT-1086,Finance,Pro,915.51,Paid,3,1,0,0
2026-W30,CLT-1087,eCommerce,Basic,333.49,Paid,2,0,0,0
2026-W30,CLT-1088,Logistics,Basic,382.97,Paid,1,1,0,0
2026-W30,CLT-1089,Healthcare,Basic,375.02,Paid,2,1,0,0
2026-W30,CLT-1090,Finance,Basic,$305.91,Paid,1,1,0,0
2026-W30,CLT-1091,Logistics,Enterprise,2425.26,Paid,0,1,0,0
2026-W30,CLT-1092,Education,Basic,374.39,Late,3,1,0,0
2026-W30,CLT-1093,Logistics,Pro,965.0,Overdue,0,1,1,0
2026-W30,CLT-1094,Education,Basic,347.55,Paid,3,1,0,1
2026-W30,CLT-1095,eCommerce,Pro,794.68,Paid,1,1,0,0
2026-W30,CLT-1096,eCommerce,Basic,371.99,Paid,4,1,0,0
2026-W30,CLT-1097,Logistics,Basic,297.25,Paid,1,0,0,0
2026-W30,CLT-1098,eCommerce,Basic,321.76,Overdue,2,1,0,1
2026-W30,CLT-1099,SaaS,Basic,$281.73,Paid,1,1,0,0
2026-W30,CLT-1100,Real Estate,Enterprise,2597.77,Late,1,0,0,0
2026-W30,CLT-1101,Finance,Pro,1100.36,Paid,2,1,1,0
2026-W30,CLT-1102,Healthcare,Basic,366.72,Paid,2,1,1,1
2026-W30,CLT-1103,eCommerce,Pro,956.84,Paid,2,1,0,0
2026-W30,CLT-1104,Education,Enterprise,2988.9,Paid,2,1,1,0
2026-W30,CLT-1105,eCommerce,Basic,316.84,Late,3,1,0,0
2026-W30,CLT-1106,Education,Pro,916.21,Paid,3,1,0,0
2026-W30,CLT-1107,eCommerce,Pro,986.09,Paid,2,1,0,0
2026-W30,CLT-1108, Healthcare ,Basic,282.18,,2,1,0,0
2026-W30,CLT-1109,Finance,Pro,893.21,Paid,1,1,0,0
2026-W30,CLT-1110,Logistics,Pro,1051.14,Paid,2,0,0,0
2026-W30,CLT-1111,Healthcare,Enterprise,"$2,991.83",Paid,1,1,0,0
2026-W30,CLT-1112,Real Estate,enterprise,262.66,Paid,1,1,0,0
2026-W30,CLT-1113,Logistics,Enterprise,2949.43,Paid,2,1,0,0
2026-W30,CLT-1114,SaaS,Basic,365.35,Paid,4,0,0,0
2026-W30,CLT-1115,Finance,Pro,945.3,Late,2,1,0,0
2026-W30,CLT-1116,Real Estate,Pro,790.29,Paid,2,1,0,0
2026-W30,CLT-1117,Finance,Basic,347.19,Paid,2,1,0,0
2026-W30,CLT-1118,Education,Basic,,late,1,1,0,0
2026-W30,CLT-1119,SaaS,Pro,1025.56,Paid,1,1,0,0
2026-W30,CLT-1120,Education,Basic,305.84,Paid,5,1,0,0
2026-W30,CLT-1121,Real Estate,Pro,1023.05,Paid,0,1,0,0
2026-W30,CLT-1122,Finance,Pro,869.54,Late,1,1,0,0
2026-W30,CLT-1123,Logistics,Pro,958.0,Paid,1,1,0,0
2026-W30,CLT-1124,eCommerce,Pro,977.49,Late,1,1,0,0
2026-W30,CLT-1125,Logistics,Basic,$340.19,,0,1,0,0
2026-W30,CLT-1126,Healthcare,Basic,282.43,Late,1,1,0,0
2026-W30,CLT-1127,Healthcare,Basic,384.88,Paid,5,1,0,0
2026-W30,CLT-1128, Healthcare ,Basic,294.03,Paid,6,1,0,0
2026-W30,CLT-1129,Healthcare,Basic,296.31,Paid,0,1,0,0
2026-W30,CLT-1130,Finance,Enterprise,2413.35,Paid,2,1,0,0
2026-W30,CLT-1131,SaaS,Pro,792.33,Paid,3,0,0,0
2026-W30,CLT-1132,Healthcare,Basic,312.09,Paid,1,1,0,0
2026-W30,CLT-1133,SaaS,Basic,359.2,Paid,2,1,0,0
2026-W30,CLT-1134,Education,Enterprise,2923.26,Overdue,2,1,0,0
2026-W30,CLT-1135,Real Estate,Basic,281.4,Paid,2,1,0,0
2026-W30,CLT-1136,eCommerce,Enterprise,2279.05,Paid,2,1,0,0
2026-W30,CLT-1137,SaaS,Pro,895.18,Paid,3,1,0,0
2026-W30,CLT-1138,Education,Pro,1076.14,Late,1,1,0,0
2026-W30,CLT-1139,eCommerce,Enterprise,2674.09,Paid,1,1,0,0
2026-W30,CLT-1140,Education,enterprise,1138.89,Paid,4,1,0,0
2026-W30,CLT-1141,Healthcare,Pro,1030.84,Paid,1,1,0,0
2026-W30,CLT-1142,Real Estate,Basic,338.82,Paid,4,1,0,0
2026-W30,CLT-1143,SaaS,Enterprise,2988.65,Paid,1,1,0,0
2026-W30,CLT-1144,Real Estate,Basic,356.28,Paid,6,1,0,0
2026-W30,CLT-1145,SaaS,Enterprise,2511.82,Paid,1,0,0,0
2026-W30,CLT-1146,eCommerce,Basic,289.7,Late,0,1,1,0
2026-W30,CLT-1147,Finance,Basic,314.08,Paid,3,1,0,0
2026-W30,CLT-1148,Finance,enterprise,963.15,Paid,2,1,0,0
2026-W30,CLT-1149,Real Estate,Enterprise,2284.44,Paid,4,1,0,0
2026-W30,CLT-1150,Finance,Basic,314.58,Paid,4,1,0,0
2026-W30,CLT-1151,eCommerce,Pro,1024.13,Paid,4,1,0,0
2026-W30,CLT-1152,Logistics,Pro,819.96,Paid,3,1,0,0
2026-W30,CLT-1153,Logistics,Pro,820.91,Overdue,2,1,0,0
2026-W30,CLT-1154,Finance,Pro,835.36,Paid,2,1,0,0
2026-W30,CLT-1155,SaaS,Enterprise,2443.75,Paid,4,1,0,0
2026-W30,CLT-1156,Logistics,Basic,384.83,Paid,0,1,0,0
2026-W30,CLT-1157,eCommerce,Basic,258.48,Late,4,1,0,0
2026-W30,CLT-1158,Healthcare,Basic,279.8,Paid,2,1,0,0
2026-W30,CLT-1159,Finance,Basic,277.28,Paid,1,1,0,0
2026-W30,CLT-1160,Logistics,Basic,319.04,,1,1,0,0
2026-W30,CLT-1161,Finance,Enterprise,2141.96,Paid,0,1,0,0
2026-W30,CLT-1162,eCommerce,Pro,950.56,Overdue,3,1,0,0
2026-W30,CLT-1163,Logistics,Basic,276.99,Paid,2,1,0,0
2026-W30,CLT-1164,Finance,Pro,874.2,Paid,3,0,0,0
2026-W30,CLT-1165,SaaS,Basic,361.98,Late,2,0,0,0
2026-W30,CLT-1166,Finance,Pro,839.55,Paid,0,1,0,0
2026-W30,CLT-1167,Healthcare,Pro,1014.94,Late,2,1,0,0
2026-W30,CLT-1168,Healthcare,enterprise,$309.85,Paid,4,1,0,0
2026-W30,CLT-1169,SaaS,Enterprise,2594.8,Paid,5,1,0,0
2026-W30,CLT-1170,Education,Basic,365.27,Paid,6,0,0,0
2026-W30,CLT-1171,eCommerce,Pro,830.17,Paid,3,1,0,0
2026-W30,CLT-1172,Finance,Pro,1139.14,,2,1,0,0
2026-W30,CLT-1173,SaaS,Basic,375.62,Overdue,2,1,0,0
2026-W30,CLT-1174,SaaS,Basic,345.22,Late,2,1,0,0
2026-W30,CLT-1175,SaaS,Basic,261.68,Paid,2,1,0,0
2026-W30,CLT-1176,Logistics,Pro,1033.64,Paid,4,1,0,0
2026-W30,CLT-1177,Logistics,Pro,1008.14,Late,3,1,0,0
2026-W30,CLT-1178,eCommerce,Pro,1077.74,Paid,1,1,0,0
2026-W30,CLT-1179,SaaS,Basic,283.87,Paid,1,1,1,0
2026-W30,CLT-1180,eCommerce,Enterprise,3197.53,Paid,2,1,0,0
2026-W30,CLT-1181,eCommerce,Pro,1123.91,Paid,1,1,0,0
2026-W30,CLT-1182,Education,Enterprise,2253.65,Paid,1,1,0,0
2026-W30,CLT-1183,Finance,Pro,892.66,Paid,4,0,0,0
2026-W30,CLT-1184,Healthcare,Enterprise,2161.5,Late,2,1,0,0
2026-W30,CLT-1185,Healthcare,Basic,367.18,Late,1,0,1,0
2026-W30,CLT-1186,Real Estate,Basic,378.54,Paid,1,1,0,0
2026-W30,CLT-1187,Healthcare,Basic,388.62,Paid,0,1,0,0
2026-W30,CLT-1188,eCommerce,Basic,337.61,Paid,5,1,0,0
2026-W30,CLT-1189,SaaS,enterprise,,Overdue,3,1,0,0
2026-W30,CLT-1190,Logistics,enterprise,346.58,Paid,4,1,0,0
2026-W30,CLT-1191,Education,Pro,995.91,Paid,2,1,0,0
2026-W30,CLT-1192,Real Estate,Basic,383.58,Late,1,1,0,0
2026-W30,CLT-1193,Logistics,Pro,1011.18,Paid,2,1,0,0
2026-W30,CLT-1194,SaaS,Basic,300.32,Paid,2,1,1,0
2026-W30,CLT-1195,Real Estate,Pro,$972.72,Paid,2,1,0,0
2026-W30,CLT-1196,Logistics,Basic,257.52,Paid,1,1,0,0
2026-W30,CLT-1197,Logistics,Basic,352.76,Late,0,0,0,0
2026-W30,CLT-1198,SaaS,Enterprise,2905.66,Paid,1,0,0,0
2026-W30,CLT-1199,SaaS,Pro,935.53,Paid,5,1,0,0
2026-W30,CLT-1200, Healthcare ,Pro,1109.85,Paid,1,1,0,0
2026-W30,CLT-1201,eCommerce,Pro,1070.99,Paid,2,1,0,0
2026-W30,CLT-1202,eCommerce,Pro,901.36,Paid,1,1,0,0
2026-W30,CLT-1203,Logistics,Basic,265.46,Late,4,1,0,0
2026-W30,CLT-1204,Education,Pro,818.55,Late,3,1,0,0
2026-W30,CLT-1205,Finance,Basic,279.88,Overdue,2,1,0,0
2026-W30,CLT-1206,Education,Pro,888.09,Paid,0,1,1,0
2026-W30,CLT-1207,Education,Enterprise,2628.46,Paid,1,1,0,0
2026-W30,CLT-1208,Finance,Enterprise,3169.0,Paid,1,1,0,0
2026-W30,CLT-1209,Logistics,Basic,292.59,Overdue,0,1,0,0
2026-W30,CLT-1210,Logistics,Basic,376.31,Paid,3,0,0,0
2026-W30,CLT-1211,Real Estate,Basic,346.86,Paid,1,0,0,0
2026-W30,CLT-1212,eCommerce,Basic,$370.22,Paid,1,0,0,0
2026-W30,CLT-1213,SaaS,Pro,928.32,,4,1,0,0
2026-W30,CLT-1214,SaaS,Pro,$766.33,Overdue,1,1,0,0
2026-W30,CLT-1215,Finance,Basic,361.24,Paid,1,1,0,0
2026-W30,CLT-1216,Healthcare,enterprise,2401.16,Late,2,1,0,0
2026-W30,CLT-1217,SaaS,Pro,822.7,Late,0,1,0,0
2026-W30,CLT-1218,SaaS,Basic,362.93,Paid,3,1,0,0
2026-W30,CLT-1219,SaaS,Pro,1042.96,Paid,1,1,1,0
2026-W30,CLT-1220,Healthcare,Enterprise,2363.97,Paid,0,1,0,0
2026-W30,CLT-1221,Logistics,Basic,291.12,Paid,1,1,0,0
2026-W30,CLT-1222,Education,Pro,1145.38,Paid,2,1,0,0
2026-W30,CLT-1223,Education,Pro,873.76,Overdue,3,1,0,0
2026-W30,CLT-1224,Finance,Pro,1049.47,Paid,1,1,0,0
2026-W30,CLT-1225,Education,Basic,$272.49,Paid,1,1,0,1
2026-W30,CLT-1226,eCommerce,Pro,1095.09,Overdue,0,1,0,0
2026-W30,CLT-1227,Real Estate,Pro,812.62,Paid,0,1,0,0
2026-W30,CLT-1228,Logistics,Pro,974.0,Overdue,3,1,0,0
2026-W30,CLT-1229,eCommerce,Pro,779.26,Late,1,1,0,0
2026-W30,CLT-1230,Logistics,Basic,$329.26,Paid,2,1,0,0
2026-W30,CLT-1231,SaaS,Pro,1107.88,Paid,5,1,0,0
2026-W30,CLT-1232,eCommerce,Enterprise,2219.95,Paid,3,1,0,0
2026-W30,CLT-1233,Education,Enterprise,2433.54,Late,1,1,0,0
2026-W30,CLT-1234,Healthcare,Basic,358.23,Paid,2,1,0,0
2026-W30,CLT-1235,Finance,Basic,337.09,Paid,2,1,0,0
2026-W30,CLT-1236,Education,Pro,891.68,Late,2,1,0,0
2026-W30,CLT-1237,eCommerce,Basic,339.9,Paid,4,1,0,0
2026-W30,CLT-1238,Finance,Pro,949.16,Paid,0,1,0,0
2026-W30,CLT-1239,Finance,Enterprise,3095.15,Paid,5,1,1,0
2026-W30,CLT-1240, Healthcare ,Basic,294.55,Paid,2,1,1,0
2026-W30,CLT-1241,Healthcare,Basic,357.29,Paid,2,1,0,0
2026-W30,CLT-1242,Finance,Basic,340.82,late,0,1,0,0
2026-W30,CLT-1243,Healthcare,Pro,1064.87,Paid,0,1,0,0
2026-W30,CLT-1244,Healthcare,Basic,306.07,Paid,2,1,0,0
2026-W30,CLT-1245,Real Estate,Basic,352.86,Paid,2,1,0,0
2026-W30,CLT-1246,Healthcare,Basic,349.29,Paid,3,1,0,0
2026-W30,CLT-1247,SaaS,Pro,921.93,Paid,1,1,0,0
2026-W30,CLT-1248, Healthcare ,Pro,775.71,Paid,2,1,0,0
2026-W30,CLT-1249,Real Estate,Basic,384.99,Paid,2,1,0,0
2026-W30,CLT-1250,Education,Basic,351.34,Late,2,1,0,0
2026-W30,CLT-1251,eCommerce,Pro,847.92,Paid,3,1,0,0
2026-W30,CLT-1252,eCommerce,Basic,353.66,Paid,3,1,0,0
2026-W30,CLT-1253,Logistics,Basic,292.62,Paid,6,0,0,0
2026-W30,CLT-1254,Logistics,Basic,318.35,Overdue,2,1,1,0
2026-W30,CLT-1255,Real Estate,Basic,371.08,Paid,2,1,0,0
2026-W30,CLT-1256,Logistics,Basic,315.49,Paid,2,1,0,0
2026-W30,CLT-1257,Finance,Pro,881.64,Paid,3,1,0,0
2026-W30,CLT-1258,Finance,Pro,888.72,Paid,0,1,0,0
2026-W30,CLT-1259,Finance,Basic,265.4,Overdue,0,0,0,0
2026-W30,CLT-1260,Finance,Basic,$284.63,Paid,5,1,0,0
2026-W30,CLT-1261,Healthcare,Pro,874.8,Paid,2,1,0,0
2026-W30,CLT-1262,Education,Basic,278.35,Paid,5,1,0,0
2026-W30,CLT-1263,eCommerce,Basic,263.51,Paid,3,1,0,0
2026-W30,CLT-1264,Finance,Basic,317.88,Overdue,2,1,0,0
2026-W30,CLT-1265,Finance,Basic,$283.94,Paid,1,0,0,0
2026-W30,CLT-1266,Real Estate,Enterprise,2956.12,Paid,1,1,0,0
2026-W30,CLT-1267,Real Estate,Basic,379.54,Paid,0,1,0,0
2026-W30,CLT-1268,SaaS,Basic,291.85,Paid,2,1,0,0
2026-W30,CLT-1269, Healthcare ,Pro,996.76,Paid,2,1,0,0
2026-W30,CLT-1270,eCommerce,Pro,970.22,Paid,4,1,0,0
2026-W30,CLT-1271,SaaS,Basic,265.14,Overdue,2,1,0,0
2026-W30,CLT-1272,Healthcare,Basic,271.86,Paid,4,1,0,0
2026-W30,CLT-1273,Finance,Enterprise,3120.38,Paid,3,1,0,0
2026-W30,CLT-1274,Logistics,Basic,319.01,Paid,3,1,0,0
2026-W30,CLT-1275,Logistics,Pro,1090.87,late,1,1,0,0
2026-W30,CLT-1276,Education,Basic,263.99,Paid,0,1,0,0
2026-W30,CLT-1277,SaaS,Pro,1005.9,Paid,2,1,0,0
2026-W30,CLT-1278,Logistics,Pro,1115.45,Paid,4,1,0,0
2026-W30,CLT-1279,Real Estate,Pro,1116.16,Paid,6,1,0,0
2026-W30,CLT-1280,SaaS,Pro,767.32,Paid,3,1,0,0
2026-W30,CLT-1281,Real Estate,Basic,325.43,Paid,3,1,0,0
2026-W30,CLT-1282,Logistics,Basic,304.82,Paid,1,1,0,0
2026-W30,CLT-1283,Real Estate,Pro,,Paid,2,1,0,0
2026-W30,CLT-1284,Finance,Pro,794.65,Late,1,0,0,0
2026-W30,CLT-1285,Finance,Basic,290.77,Late,1,1,0,0
2026-W30,CLT-1286,Healthcare,Basic,364.71,Paid,5,0,0,0
2026-W30,CLT-1287,Finance,Pro,955.17,Paid,4,1,0,0
2026-W30,CLT-1288,eCommerce,Pro,948.53,Late,0,1,0,0
2026-W30,CLT-1289,SaaS,Enterprise,3214.63,Paid,2,1,0,0
2026-W30,CLT-1290,Logistics,Basic,298.19,Paid,0,1,0,0
2026-W30,CLT-1291,eCommerce,Basic,260.63,Paid,1,1,0,0
2026-W30,CLT-1292,Healthcare,Pro,923.84,Paid,3,1,0,0
2026-W30,CLT-1293,Healthcare,Pro,827.12,Overdue,1,1,0,0
2026-W30,CLT-1294,Logistics,enterprise,798.17,Paid,2,1,0,1
2026-W30,CLT-1295,Education,Enterprise,2763.84,Overdue,4,1,0,0
2026-W30,CLT-1296,Finance,enterprise,3197.77,Paid,3,1,0,0
2026-W30,CLT-1297,Logistics,Pro,999.66,Paid,2,1,0,0
2026-W30,CLT-1298,Finance,Pro,1027.08,Paid,1,1,0,0
2026-W30,CLT-1299,Education,Basic,298.69,Late,1,1,0,0
2026-W30,CLT-1300,Finance,Pro,996.3,Paid,2,1,0,0
2026-W30,CLT-1301,Logistics,Basic,356.55,Paid,1,0,0,0
2026-W30,CLT-1302,SaaS,Pro,1003.66,Paid,5,1,0,0
2026-W30,CLT-1303,eCommerce,Pro,1090.13,Paid,0,1,0,0
2026-W30,CLT-1304,Healthcare,Pro,987.94,Paid,1,1,0,0
2026-W30,CLT-1305,Education,Basic,281.75,Paid,0,1,0,0
2026-W30,CLT-1306,Healthcare,Basic,333.67,Paid,3,1,0,0
2026-W30,CLT-1307,SaaS,Basic,321.28,Paid,2,1,0,0
2026-W30,CLT-1308,Real Estate,Basic,277.4,Late,5,1,0,0
2026-W30,CLT-1309,Logistics,Pro,1015.76,Paid,1,1,0,0
2026-W30,CLT-1310,Finance,Pro,1095.87,Paid,1,1,0,0
2026-W30,CLT-1311,eCommerce,Basic,273.24,Paid,0,1,0,0
2026-W30,CLT-1312,Healthcare,Pro,985.7,Paid,3,1,0,0
2026-W30,CLT-1313,Real Estate,Pro,1062.14,Paid,6,0,0,0
2026-W30,CLT-1314,Real Estate,Basic,309.41,Paid,1,1,0,0
2026-W30,CLT-1315,Finance,Pro,874.37,Paid,1,1,0,0
2026-W30,CLT-1316,Healthcare,Enterprise,2543.82,Paid,1,1,1,0
2026-W30,CLT-1317,Real Estate,Basic,328.13,Paid,2,1,0,0
2026-W30,CLT-1318,eCommerce,Basic,347.7,Paid,3,1,0,0
2026-W30,CLT-1319,SaaS,Pro,,Paid,1,1,0,0
2026-W30,CLT-1320,Healthcare,Enterprise,2245.4,Paid,2,0,0,0
2026-W30,CLT-1321,Real Estate,Basic,365.41,Paid,3,1,0,0
2026-W30,CLT-1322,eCommerce,Pro,1139.16,Paid,0,0,0,0
2026-W30,CLT-1323,Logistics,Pro,806.02,late,0,1,0,0
2026-W30,CLT-1324,Healthcare,enterprise,,Paid,4,1,0,1
2026-W30,CLT-1325,SaaS,Basic,278.45,Late,1,1,0,0
2026-W30,CLT-1326,Real Estate,Basic,369.64,Late,6,1,0,0
2026-W30,CLT-1327,eCommerce,Enterprise,3149.06,Paid,2,0,0,0
2026-W30,CLT-1328,Education,Basic,260.98,Paid,1,1,0,0
2026-W30,CLT-1329,SaaS,Basic,299.88,Paid,0,1,0,0
2026-W30,CLT-1330,Education,Pro,842.96,Paid,3,1,0,0
2026-W30,CLT-1331,Real Estate,Basic,318.39,Paid,2,1,0,0
2026-W30,CLT-1332,Education,Pro,1138.24,Paid,1,1,0,0
2026-W30,CLT-1333,Healthcare,Basic,264.47,late,5,1,0,0
2026-W30,CLT-1334,Finance,Enterprise,2317.69,Paid,4,1,0,0
2026-W30,CLT-1335,Real Estate,Basic,320.75,Paid,3,0,0,0
2026-W30,CLT-1336,Finance,Pro,977.23,Paid,3,1,0,0
2026-W30,CLT-1337,Healthcare,Basic,355.64,Paid,1,1,0,0
2026-W30,CLT-1338,Education,Basic,314.09,Paid,1,1,0,0
2026-W30,CLT-1339,Logistics,Basic,274.05,Paid,1,1,0,0
2026-W30,CLT-1340, Healthcare ,Basic,302.74,Paid,2,1,0,0
2026-W30,CLT-1341,eCommerce,Basic,$387.58,Paid,1,0,0,0
2026-W30,CLT-1342,Real Estate,Pro,1069.04,Paid,2,1,0,0
2026-W30,CLT-1343,Finance,Basic,,Paid,2,1,0,0
2026-W30,CLT-1344,eCommerce,Basic,364.11,Paid,3,1,0,0
2026-W30,CLT-1345,Finance,Enterprise,2474.79,Paid,4,1,0,0
2026-W30,CLT-1346,Finance,Enterprise,3004.07,Paid,4,1,0,0
2026-W30,CLT-1347,Real Estate,Enterprise,2139.31,Paid,4,0,0,0
2026-W30,CLT-1348,Education,Basic,,Paid,1,1,0,0
2026-W30,CLT-1349,Real Estate,Basic,,Paid,2,1,0,0
2026-W30,CLT-1350,Logistics,Basic,$316.53,Late,1,1,0,0
2026-W30,CLT-1351,Finance,Basic,344.34,,2,1,0,0
2026-W30,CLT-1352,Education,Basic,$323.56,Paid,0,1,1,0
2026-W30,CLT-1353,Healthcare,Pro,831.99,Paid,3,1,1,0
2026-W30,CLT-1354,Logistics,Basic,273.78,Paid,3,1,0,0
2026-W30,CLT-1355,Education,Basic,$293.41,Late,2,1,0,1
2026-W30,CLT-1356,Logistics,Enterprise,2183.94,Paid,6,1,0,0
2026-W30,CLT-1357,Healthcare,Basic,284.23,Paid,2,1,0,0
2026-W30,CLT-1358,Education,Basic,272.56,Paid,2,1,0,0
2026-W30,CLT-1359,Education,Pro,953.24,Paid,1,1,0,0
2026-W30,CLT-1360,Logistics,Basic,303.13,Paid,4,1,0,0
